Date,Clean_Solar_Generation,Trend_Seasonal_Component
1/3/2020,4.1224999,22.40172835
1/4/2020,15.56416642,26.17789389
1/5/2020,17.62283299,29.9048705
1/6/2020,21.39194427,33.56823657
1/7/2020,8.377833118,37.15389139
1/8/2020,12.74772195,40.64811391
1/9/2020,11.60461086,44.03761996
1/10/2020,11.65927755,47.30961774
1/11/2020,8.999999877,50.45186133
1/12/2020,11.23266644,53.45270191
1/13/2020,0.847666616,56.30113662
1/14/2020,0,58.98685472
1/15/2020,0.912999946,61.500281
1/16/2020,2.527333187,63.83261603
1/17/2020,2.955499824,65.97587341
1/18/2020,6.986777598,67.92291349
1/19/2020,9.87688867,69.66747373
1/20/2020,9.874888688,71.20419534
1/21/2020,30.50216597,72.5286463
1/22/2020,30.15483263,73.63734041
1/23/2020,26.17605508,74.52775251
1/24/2020,26.53949944,75.19832968
1/25/2020,33.14488824,75.6484984
1/26/2020,9.743277637,75.87866762
1/27/2020,27.49549955,75.89022775
1/28/2020,19.80788857,75.68554554
1/29/2020,33.57794373,75.26795489
1/30/2020,32.62888829,74.64174358
1/31/2020,24.18761075,73.81213603
2/1/2020,27.57905493,72.78527213
2/2/2020,21.73966611,71.56818214
2/3/2020,14.4724997,70.16875795
2/4/2020,31.78313837,68.59572057
2/5/2020,23.7108328,66.85858425
2/6/2020,33.87902713,64.96761707
2/7/2020,37.39833259,62.93379846
2/8/2020,12.56922212,60.76877356
2/9/2020,35.68088822,58.48480487
2/10/2020,53.00149911,56.09472105
2/11/2020,11.19016641,53.61186345
2/12/2020,30.00105483,51.05003033
