Date,Clean_Coal_Generation,Trend_Coal_Generation
3/7/2023,19614.95114,19471.06299
3/8/2023,17735.33119,19455.47111
3/9/2023,11932.71097,19436.08884
3/10/2023,19598.63727,19412.88805
3/11/2023,19521.81948,19385.85503
3/12/2023,19544.52265,19354.99071
3/13/2023,19371.61953,19320.31077
3/14/2023,19304.98305,19281.84574
3/15/2023,19611.22354,19239.64097
3/16/2023,19600.00926,19193.75662
3/17/2023,19563.54547,19144.26758
3/18/2023,18585.0281,19091.26324
3/19/2023,18599.97004,19034.84732
3/20/2023,18915.61997,18975.13758
3/21/2023,18864.52809,18912.26547
3/22/2023,17977.37575,18846.3757
3/23/2023,17589.85359,18777.62585
3/24/2023,18718.31127,18706.1858
3/25/2023,19021.3695,18632.23721
3/26/2023,18661.74365,18555.97286
3/27/2023,18487.57532,18477.59602
3/28/2023,18537.49643,18397.31973
3/29/2023,18505.32926,18315.36604
3/30/2023,19177.34828,18231.96518
3/31/2023,18785.55502,18147.35478
4/1/2023,18468.48998,18061.77896
4/2/2023,18199.09048,17975.48741
4/3/2023,19601.01,17888.7345
4/4/2023,19626.92091,17801.77826
4/5/2023,19549.81998,17714.87944
4/6/2023,18977.22087,17628.30048
4/7/2023,11299.10866,17542.30451
4/8/2023,14071.32725,17457.15429
4/9/2023,14772.04676,17373.11122
4/10/2023,18234.2886,17290.43425
4/11/2023,17367.79516,17209.3789
4/12/2023,19325.81109,17130.19616
4/13/2023,19410.47759,17053.13153
4/14/2023,19274.39609,16978.42397
4/15/2023,19177.90977,16906.30493
4/16/2023,18885.19128,16836.99738
4/17/2023,17009.22672,16770.71485
4/18/2023,19365.19678,16707.66055
4/19/2023,19360.7803,16648.02645
4/20/2023,17117.70135,16591.99247
4/21/2023,14893.91633,16539.72567
4/22/2023,15199.43161,16491.3795
4/23/2023,16464.71525,16447.09309
4/24/2023,19166.88736,16406.99057
4/25/2023,18824.33898,16371.18051
4/26/2023,19249.36047,16339.75536
4/27/2023,18607.34331,16312.79095
4/28/2023,19333.22075,16290.34609
4/29/2023,19034.52126,16272.46221
4/30/2023,13405.13128,16259.16303
5/1/2023,18417.44959,16250.4544
5/2/2023,19387.63652,16246.32412
5/3/2023,19534.93453,16246.74182
5/4/2023,18720.82681,16251.65902
5/5/2023,16611.78088,16261.00913
5/6/2023,9337.128136,16274.70761
5/7/2023,12349.58596,16292.65221
5/8/2023,18610.78971,16314.72318
5/9/2023,19523.48772,16340.78368
5/10/2023,19595.95079,16370.68019
5/11/2023,19500.93659,16404.243
5/12/2023,19531.01315,16441.28677
5/13/2023,19010.45149,16481.6112
5/14/2023,17513.39338,16525.00167
5/15/2023,17102.53735,16571.23004
